recording_mbid,canonical_recording_mbid,canonical_release_mbid
19201d0e-8a06-4d93-993a-2e779a09b5ad,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
e9e2d487-5257-44ba-aecf-88563427c22f,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
5c5731f2-d3c1-475d-ae31-1287126a8027,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
ec14a0c6-41de-4b98-afe7-bcfde0618545,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
9d822010-853c-4a6e-b152-6dc07f279130,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
df17e8db-015f-4cbe-a662-f109115c95d0,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
a505b552-e91e-4e6d-8a89-1931de32471c,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
e9fc68d3-ddb0-47f8-a3c7-b47941173aa2,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
7134086b-604c-4bd1-966a-35f8cb861657,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
2efbb4ee-71d6-4923-be13-371349b00690,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
5d26456c-bc10-4cf8-8760-232c2c763c1d,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
a3e0925b-073c-49cd-9716-0bf0c4d53c1d,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
c46d2015-cc39-4632-8b32-fa14d8372d65,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
7c163a8c-5636-4e33-a0e8-8f394a147c66,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
5a50c7c4-8219-4d0b-ac8f-53b042fdaec1,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
921f8843-c553-423c-9a54-902beedaa40c,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
e6878cb3-48ac-4441-870f-9c5363150be3,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
737365e5-0c96-4ec8-bf9f-8a512e474928,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
671b374f-860e-4549-97e7-ecb17ec60c15,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
84ef87c4-10c0-4941-907e-041cee71e332,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
c65e9a55-4af5-4eef-a550-341dcf63f36a,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
c24ac93a-aaa3-474a-ba35-463c811ac066,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
b86d98f6-71c9-4329-af7e-936bb5ade949,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
0e007cbe-37e2-41da-a3f3-0a70e6f39b2b,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
ec70d41f-1fa3-4ee1-a217-19891dfa6394,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
def98e8f-1009-4a62-a15d-091a9d00dfc0,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
871174b0-d372-45cc-bb89-bca5640e855e,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
b148099a-6b81-437a-bc33-45c62c15284f,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
9d131c10-805b-43ef-b085-aeb16f7e699b,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
0c523cce-7085-4ab2-a8b2-8b54a90c94a1,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
0d9391bb-caa9-4e0a-937b-1d7d520a7b9f,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
b9a5a1e8-0201-462c-80ba-394176efca9a,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
3e6edd4c-3775-466f-b97d-2624c3fc20e5,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
5d187ed3-a53a-48b8-a12c-5fc878548758,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
bd620f1b-a1f6-4e89-9f5a-9b1b5952d67e,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
41ba963d-f1e3-4a0f-b17b-afb68d14ac39,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
ef4e2848-32d2-4b1b-a0b5-ad88b5879d7f,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
06470d73-0c92-4d6e-8af9-7dd054a5b5ae,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
def03bbf-a331-4e54-90a1-58ee4cfd6f25,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
0ff16c50-2bf1-4fcb-b302-6cec0e16ca28,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
dc51cd78-c502-454c-ac30-db502a92fcd4,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
49e5aa03-57f9-406c-bfbe-aaa3f6411647,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
d5067a56-85a6-48fe-9ba8-77c956d30c07,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
3ba20a2b-9894-40fd-af85-c93325cedd43,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
