recording_msid,recording_mbid,match_type
6b197bdb-a7f4-4b3f-bdea-3ee5e9823ac4,783c3da7-6801-47f6-aa0d-0fe5a5b39688,exact_match
be81633b-b531-4327-a7de-c263143b4857,9479dcf0-fde6-44a7-ab80-da84ee79c99d,exact_match
81ccbca4-7f2b-4ecf-8b36-edc2f76f2876,e80a5986-6285-4730-84bc-52cb2996667a,exact_match
c083d41a-3727-482f-b03a-e6ff3626db80,,no_match
e6fd7594-fdeb-4ce7-b554-d3b683756374,043e06e0-ff44-4244-ac92-2954d0661e67,exact_match
07adf465-009e-432a-8050-24f0fcc43c3d,5a31dc98-2365-4b99-b8ba-ed7ed05736dd,exact_match
9d493f7b-96ee-47e7-93cc-89327d054371,08d300dc-5455-430d-acf4-c74c3a41198e,exact_match
0a16e5cc-58b1-4219-9b73-597f053063c4,,no_match
78aa013a-9c43-4ac9-bda7-ff9c2a6ae9f4,750fc037-e6a1-4379-a389-21b0bb2b7114,low_quality
a39715bb-b7c3-41d0-9020-59eab1431310,7112ccbc-c0c0-4cdf-bb29-c68d5815a49b,low_quality
c533d724-581e-4e3b-9b61-97182daf67d3,44f99129-13dc-419b-80e5-b95ff54dbe50,low_quality
c6e0d822-b3df-4514-b5a6-d81fbdce7f68,1e479d8c-e928-4d58-9570-a38fa78ed869,med_quality
6fc97693-fb66-473d-9faa-bdb068729045,2d613343-3764-491f-a323-3f0ad4bab319,exact_match
